,Title,Abstract
10,"Digitalization in Education: Challenges, Trends and Transformative Potential","Digitalization is transforming all facets of society, not just work environments, and in terms of educational contexts, the transformation is occurring with or without strategic initiatives that ensure ongoing quality of teaching and learning environments. Integration of technology into teaching and learning is not new, but the rapid rate and pace of technological advancement is new, especially regarding new Internet, ICT and digital technologies. The field of education is mainly reactive, as new disruptive technologies develop in other industries and are then applied and accommodated into existing educational cultures and systems. This chapter provides an overview of technology integration in education from computers to other more advanced forms of digital technologies. The transformative potential of digitalization in education is exciting and presents many opportunities and challenges, given new trends and developments in digital technologies."
11,Students’ Perception of Distributed Teaching Presence in Discussion Forums. A Case Study,"The Information and Communication Technologies (ICT) have been implemented regularly in faculty classes in the last two decades. ICT—mediated learning environments have the potential to transform educational practices as well as students’ learning experiences. Online discussion forums are useful to share graduate students’ opinions and the social construction of knowledge. The objective of this chapter is to analyse the distributed teaching presence as reflected in university teachers’ contributions through their inputs in the forums of a faculty teaching course. A qualitative research study was conducted to analyse two online virtual courses at the Technological University of Pereira (Colombia). Main results indicate that participants’ tended to solely present their own visions, ideas and understandings, but did not compare them with other participants, which had the effect of missing the communicative and interactive potential of e- and b-learning. Trascending the traditional teaching approaches based on transmission of content and entering into a more constructive and interpersonal communication is key for a proper use of this type of teaching."
12,Einsatzmöglichkeiten Künstlicher Intelligenz in der Hochschulbildung – Ausgewählte Ergebnisse eines Systematic Review,"Bereits seit über einem halben Jahrhundert wird zur Entwicklung von Künstlicher Intelligenz (KI) geforscht und entwickelt. Durch die weltweite Vernetzung und Verfügbarkeit von Daten („big data“) und eine entsprechende Rechenkapazität der Computer sind heute Anwendungen und Methoden möglich geworden, die in den letzten Jahren verstärkt auch im Kontext des Lernens und Lehrens an Hochschulen diskutiert werden. Auf der Grundlage eines Systematic Reviews mit 146 inkludierten Studien wird in dem Beitrag ein Überblick über aktuelle Entwicklungen und potenzielle Anwendungsbereiche von AIEd (Artificial Intelligence in Education) gegeben. Hierbei wird auch eine kritische Perspektive zu den hiermit verbundenen ethischen und rechtlichen Herausforderungen eingenommen."
13,Educational Networking: A Glimpse at Emergent Field,"As a sample of the evolution that characterizes twenty-first century education, diverse Technology-Enhanced Teaching and Learning (TETL) approaches emerge, where educational networking (EN) is relevant. In this context, Web 2.0 represents a suitable environment to foster the creation, usage, and growth of online social networks (OSNs) that enable users to meaningfully connect, create, contribute, and collaborate in pursuit of common affairs, such as education. Hence, EN represents more than a platform for advertisement, breaking news, message dissemination, and content sharing, as it merges OSN functionalities with learning resources and its tools suitable for online teaching to instill social learning for all . Although EN is an incipient field in vigorous progress, it represents a new fashion of e-learning settings that gregariously transforms and spreads education worldwide. This is why a review of the evolution of EN labor and recent achievements leads to appreciate its nature, development, impact, and trends to consider its exploitation as part of an extended and novel academic offer. Thus, in this chapter a sample of works published since 2015 up to date is analyzed to shape a landscape of the endeavors performed in the EN arena. Therefore, a taxonomy for EN is designed to report a summary of the EN labor, whose features are outlined through a pattern to depict EN applications. The work reveals that most of the publications study how OSNs affect students’ learning, attitudes, and behavior, and general-purpose OSNs represent the most demanded platforms to foster EN."
14,NEOBOOK: Hypermedial Language Integrating Knowledge in Computer Education,"The objective of this research project was to analyze the use of Neobook to improve the academic performance in the teaching-learning process of Computer Science. In order to determine this, the survey technique was used specifically with its instrument, the questionnaire, applied to 84 students and 2 teachers of the Ing. Federico Páez School located in Cantón Otavalo, Parroquia El Jordán, of the City of Otavalo – Ecuador. A quantitative research was carried out, within a documentary, descriptive and field-work focus making it possible to demonstrate that when using this educational software, 82% of the students would improve their knowledge. Also, 100% of the teachers answered that their students would improve their academic performance. This is why an E-book was elaborated that handles a hypermedial language integrator of computer knowledge in order to strengthen their learning and develop their skills. The results address educational technology allowing cognitive construction and permitting new ways of learning digitally. Teachers using an E-book obtain an excellent sustainable teaching material for their classes, invigorating learning potentials in an interactive, constructive and collaborative way. It is also a contribution since it is a sustainable environment-friendly material."
15,Artificial Intelligence as Driver for Business Model Innovation in Smart Service Systems,"Artificial Intelligence drives business model innovation. In this context, our paper examines major amendments of business model elements (value proposition, value creation and value capture) due to artificial intelligence implementation into products and services. Based on a literature review changes like enhanced autonomous and adaptive value proposition, intense use of data and stronger collaboration in ecosystems as well as adapted revenue models are identified, analyzed and presented in this paper."
16,Mobile Technologies in Education: Student Expectations – Teaching Reality Gap,"In the world where mobile technologies are generally available to the majority of population, there is an obvious demand to make use of them in education. But, despite the fact that there is no lack in creative ideas on how to incorporate them in the learning process, most formal educational systems do not specifically support nor encourage teachers to use mobile devices in their teaching. As a result, there is a discrepancy between the expectations of students and working practices of teachers. The paper intends to discuss this discrepancy using the data of the surveys on the implementation of mobile learning conducted among the students and teachers of Tambov State Technical University (Tambov, Russia)."
17,An Intelligent Platform for Offline Learners Based on Model-Driven Crowdsensing Over Intermittent Networks,"Despite the continuous growth of global Internet users, almost 4 billion people do not use the Internet. The offline population includes people who live in developing regions or rural aging communities. In this context, we propose a learning-support platform for learners without an easy, reliable, and affordable means to access digital learning environments on the Internet. Unlike existing systems that provide little support for efficient educational data collection from offline learners, our proposed platform combines delay-tolerant networking mechanisms and active learning-based model-driven crowdsensing techniques to deliver learning materials and collect educational data efficiently."
18,Collaborative Learning and Patterns of Practice,
19,Higher Education Institutions Towards Digital Transformation—The WUT Case,"New emerging digital technologies such as artificial intelligence, virtual reality, augmented reality, cloud computing, blockchain, robotization, the Internet of Things, big data, etc. have produced a powerful disruptive effect in almost all areas of our existence and have radically changed the way we live, work, learn or relax. Without consciously realizing it, everyone is adapting to the digital era. As nothing “escapes” the all-encompassing digital transformation, higher education follows track too. So, it is natural to ask ourselves: what are the higher education institutions doing to keep up with this rapidly evolving digital world? In this paper, we present the case of West University of Timişoara as an example of good practice in dealing with the effects of digital transformation on the university and its academic community (teachers, students, administrative staff). Our goal is to gain an understanding of what is being proposed through the institutional development strategy, and what is actually happening in our university from the digitalization perspective. Thus, we conduct an exploratory research using a quantitative approach that involves a survey applied to students enrolled in different study programs, at different levels. We focus on their opinion about how our university can prepare and transform in order to adopt an integrated digital approach, looking into topics like: technology-enabled services, digital enrollment of students, digitization of the administrative processes, implementation of digital procedures to offer recommendations or file complains, digital curricula, new modes of digital learning delivery, etc. Our findings reveal that West University of Timişoara must take significant steps towards the implementation of digital transformations, while, however, remaining watchful and cautious of the hidden implications of this process."
20,Interplay Between Usability and Information System Continuance: An Extended Model,"This paper proposes a model to investigate the relationship between Expectation-Confirmation Model (ECM) widely used in Information System (IS) research and main usability factors. The target domain is CRISS platform that represents a unique cloud-based digital learning platform, based on the most advanced pedagogical methodologies and technological solutions, that allows guided acquisition, evaluation and certification of digital competences in primary and secondary schools. Based on the research model, a survey instrument to measure the user’s continuance intention of using the CRISS platform is also developed. Such model and the instrument can help researchers to explain the expected sustainability of an IS, and to enrich the understanding of its post-adoption use. Also, the study results contribute to the current knowledge of ECM and usability field in terms of other factors other than the original affecting the users’ intention to use a digital platform for assessment and digital competence acquisition."
21,"Blended Learning: Approaches, Trends, Research, and Publication Opportunities","This chapter focuses on blended learning approaches, trends, research, and publication opportunities. It begins with a discussion about campus-based and fully-online approaches to blended learning. Research trends are then described from student, faculty, and administrative perspectives. Research opportunities and challenges are presented for each of these three categories. The chapter concludes with an overview of the resources, conferences, and publication venues that are available in the field of blended learning."
22,Integra(c)tion of Graphic Supports. A Case-Study on Parabolic Motion for Students with Learning Difficulties,"What opportunities do technological and digital resources provide for teacher mediation in case of learning difficulties? Starting from the findings on teaching accommodation (Hodge and Preston-Sabin 1997 ; Tomlinson and Murphy 2015 ) and multimodal strategies (Walters 2010 ; Kress 2001 , 2010 ), a case-study on the ‘integration’ of three graphic supports (Mayer 1989 , 2005 ; Clark and Lyons 2010 ) (algebraic function formula; representation on the Cartesian plane; dynamic representation through interactive software - GeoGebra) will be described. The study regards the teaching integration of these graphic supports for the representation of a parabolic motion in a secondary school class that includes students with dyscalculia. Through the triangulation of questionnaire, document analysis and in-depth interviews, the analysis highlights relevant aspects regarding the integration of visual and motor representation of learnings (Eilam 2015 ), in order to support the learning difficulties. These early findings confirm the meta-analyzes already known (Hattie 2012 ), the necessity to invest in the multimodal competence of the teacher (Bruce et al. 2013 ) and lead us to deepen the effective relationship between digital resources and learning difficulties."
23,Indications for Kinesthetic Learning Through Haptic Devices,
24,An Exploration of a Social Media Community: The Case of #AcademicTwitter,"Online professional communities on Twitter are increasingly gaining attention among users due to benefits such as knowledge sharing, professional development, and relationship building. Millions of hashtags are used every day in different disciplines (e.g., #educhat) or everyday situations (e.g. #MondayMotivation). Hashtags have led to the creation of conversations about topics (e.g., #highered), serving as a point of connection among different types of users. In the academic world, the hashtag #AcademicTwitter has evolved into an online community of educators, graduate students, organizations, and others engaged in the discussion of topics and issues related to academic life, funny moments, and survival stories. This paper examines participants and communication patterns in the #AcademicTwitter community. Using content analysis and social network analysis techniques, the researchers examined tweets including the #AcademicTwitter hashtag to discover the community’s network properties, roles of the participants, sentiment, and conversational themes. Findings indicated that the conversation was not centered on one topic, instead several micro-communities were found. Top participants in the #AcademicTwitter community were educators, media platforms, and other professionals which centered on conversations related to topics such as accessibility, academic life experiences, and teaching and research support. The study of social media in academic professional settings is still new. Our work contributes to the literature of social networks in academia, helping better understand how users connect and the network that supports the #AcademicTwitter community."
25,Synthesis of Social Media Messages and Tweets as Feedback Medium in Introductory Programming,"Social Media have been recognised as supportive tools in education for creating benefits that supplement students’ collaboration, class interactions, as well as communication between instructors and students. Active informal interaction and feedback between instructors and students outside class belong to the main reasons behind social media pedagogy. Despite the prevalence of traditional email methods of providing feedback to students, the literature shows that they do not check their emails as frequently as they check their social media accounts. In this paper we present the automatic generation of feedback messages and tweets with context-free grammars (CFG). Our system takes a class list of students and their mark sheets and automatically composes Twitter tweets concerning statistical ‘fun facts’ about programming problems, exercises, class performances, as well as private messages about individual student performances. A survey with 116 participating students showed that the majority of them would like to receive such notifications on social media rather than emails. Lecturers found our system promising, too."
26,Researching EMEMUS,"This chapter illustrates the research potential of the ROAD-MAPPING framework as it argues for possibilities of using the framework for investigations into English-medium Education in Multilingual University Settings (EMEMUS). By way of exemplification, two research focal points are foregrounded: participant expectations and evaluations of relevant educational practices, on the one hand, and, on the other, English-medium classroom discourse. For these two investigative areas, four finished studies (Baker & Hüttner in Journal of Multilingual and Multicultural Development 38(6): 501–516, 2016 ; Dafouz, Hüttner, & Smit in Conceptualising integration in CLIL and multilingual education . Multilingual Matters, Bristol, UK, pp. 123–143, 2016 ; Komori-Glatz in English as a business lingua franca in multicultural student teamwork: An EMEMUS study (PhD thesis). University of Vienna, Vienna, Austria, 2017 ; Smit, 2010b ) are introduced that showcase different ways of how the framework has informed the phases of conceptualisation, study design and methodology, data analysis and/or interpretation of findings. By extension, we argue that these examples illustrate that investigations into EMEMUS benefit from working with the ROAD-MAPPING framework."
27,Social Networks in Higher Education Management,
28,Digital Universities in Russia: Prospects and Problems,"The education sector is subject to significant changes due to the increasingly active spread of digital technologies. Usually, the trends in the implementation of digital technologies in educational and research activities are set by commercial organizations – private universities, business schools, corporate universities. But public universities and institutions start to think more and more about digital transformation. By the end of the year, several Russian universities will receive grants for the creation and operation centers of development of digital university models. Anticipating the events, the article considers the model of a digital university, which consists of four blocks – university management information systems, online support for the educational process, key competencies of the digital economy and educational process management based on an individual educational path. The object of the study was the State University of Management and the Financial University under the Government of the Russian Federation. After examination of the current state of university digitalization, we have identified major problems which become an obstacle during digital transformation."
29,Exploiting Peer Review in Microteaching Through the Ld-Feedback App in Teacher Education,"This paper presents a case study in which student-teachers practiced microteaching in the form of peer-teaching. They collaboratively developed a learning design, implemented it as a micro-lesson i.e. as a simulated teaching session and later they participated in a structured peer review activity. In particular, students initially used the Integrated Learning Design Environment to organize their task and its integrated WebCollage editor for authoring the learning design. Then these particular designs were implemented as a micro-lesson during which the authors of the design “taught” their peers who played the role of the students. After each micro-lesson, the Ld-Feedback application was used so that the student-teachers who practiced the microteaching got feedback from their peers regarding both the design and the implementation. This paper focuses on the first phase of the peer review activity explaining the use of the Ld-Feedback App and investigating the added value of involving student-teachers in creating feedback forms to evaluate their learning designs."
30,Successful Factors for Adoption of Synchronous Tools in Online Teaching at Scale,"With the advancement of technology in recent decades, online learning is becoming increasingly popular."
31,Can We Use Gamification to Predict Students’ Performance? A Case Study Supported by an Online Judge,"The impact of gamification has been typically evaluated via self-report assessments (questionnaires, surveys, etc.). In this work, we analise the use of gamification elements as parameters, to predict whether students are going to fail or not in a programming course. Additionally, unlike prior research, we verify how usage of gamification features can predict student performance not only as a discrete, but as a continuous measure as well , via classification and regression, respectively. Moreover, we apply our approach onto two programming courses from two different universities and involve three gamification features, i.e., ranking , score , and attempts . Our results for both predictions are notable: by using data from only the first quarter of the course, we obtain 89% accuracy for the binary classification task, and explain 78% of the students’ final grade variance, with a mean absolute error of 1.05, for regression. Additionally and interestingly, initial observations point also to gamification elements used in the online judge encouraging competition and collaboration . For the former, students that solved more problems, with fewer attempts, achieved higher scores and ranking. For the latter, students formed groups to generate ideas, then implemented their own solution."
32,Technology of Forming Competence of Pedagogical Design in Graduate and Postgraduate Programs,"The approaches to pedagogical design as an invariant teacher’s activity are analyzed and theoretical and methodological provisions of pedagogical design are highlighted. The content and structure of pedagogical design in the development of educational materials are disclosed. The characteristic of stages of students’ activity in the development of educational materials is presented. The highlighted characteristics of modern teaching materials allow researchers to consider them as an indicator of the quality teacher’s work. The requirements for educational materials are identified and a methodology for assessing their quality is presented. The principles of pedagogical design as a component in the structure of pedagogical activity are formulated. The structure and content of the model for constructing educational materials and methodology for the examination of educational literature have been developed. Experience and implementation of technology development for the formation of competence in pedagogical design of teaching materials in the training of postgraduates and graduate students are analyzed. The technology of teaching the pedagogical design of teaching materials and assessing their quality has been developed and tested, which allows forming a design competence and the competence of an expert assessment of the quality of educational materials."
33,A Framework for Designing and Evaluating Persuasive Technology in Education,"Persuasive technology can influence people to change their behavior. It can be also useful in the education context. For example, it could be integrated with pedagogy for persuading students’ attention in the classroom. Therefore, this research applies the principles of persuasive technology in a university classroom. There are three stages of the proposed framework used in this research. Firstly, the research collected users’ requirements on the persuasive technology in education and list the top 10 most selected persuasive elements. Secondly, the research selected the applications that included elements from the first stage and apply in a classroom for one semester. Furthermore, this study collected data from the student for finding factors affecting the intention to adopt persuasive technology in the classroom. Lastly, the study evaluated users’ performance by comparing the test scores from students who used persuasive technology with the students who did not use it. The results from multiple linear regression showed that primary task support and social support were significantly influencing students’ intention to adopt persuasive technology in the classroom. The classrooms that used persuasive technology have better average scores than the class that did not. Possible future research is also discussed."
34,Exploring the Affordance of Distance Learning Platform (DLP) in COVID19 Remote Learning Environment,"Higher Education has been facing the dilemma of the preferred delivery method for over two decades. COVID19 pandemic in 2020 made the need for further exploration of the same even more imperative. Although the urgency of events did not leave much time for policymakers and educators to decide, it did inspire the authors of this article to analyse the affordances of Distance Learning Platform (DLP), and the ways students perceived the online learning due to current uncertain circumstances. Students as critical stakeholders in the learning process were on the receiving end of the decisions taken to facilitate distance learning. The focus of this study was to understand students’ experience of using the Distance Learning Platform (DLP) in a crises-induced environment at a university in the United Arab Emirates. A sample size of 60 undergraduate students who took academic study skills classes was used to collect data. Students were asked to reflect on their experience of distance learning, and the data were analysed to understand the students’ preferences of their study method while enabling them to recognise their cognitive skillset. The data indicated reasons behind students’ preferences of the preferred delivery method."
35,Cohort Supervision: Towards a Sustainable Model for Distance Learning,"In response to the challenge of increasing supervision capacity while at the same time also improving the supervision experience, we used a design science research approach to guide the design, implementation and evaluation of a cohort supervision model for master’s students in computing at an open-distance university. This paper describes the implementation of a cohort programme in 2018, the findings from data collected during a focus group with students and supervisors, students’ reflective evaluations at the end of the module, feedback from the supervisors, and our reflective notes. Our main theoretical contribution is the cohort model proposed for developing supervision capacity at master’s level. Our practical contribution is a method for a practical supervision model for master’s students based on the concepts of co-operative learning and conversational theory."
36,Künstliche Intelligenz und das deutsche Schulsystem,"Künstliche Intelligenz (KI) ist (noch) kein Thema im deutschen Schulsystem. In diesem Beitrag wird auf die Bedeutung von KI für zentrale Lebensbereiche verwiesen und der Versuch einer aktuellen Standortbestimmung (Ist-Zustand) unternommen. Nach Ableitung eines Zukunftsszenarios für das deutsche Schulsystem (Soll-Zustand) werden abschließend Maßnahmen diskutiert, wie der Soll-Zustand erreicht werden kann. Hierbei wird deutlich, dass das die Berücksichtigung diverser Lernorte (auch über die Schule hinaus) erfordert."
37,Instilling purpose and value in the implementation of digital badges in higher education,"This qualitative multi-case study examined digital badge programs being used at three higher education institutions, at the course level, the department level, and the university level. The study sought to explore the adoption of badges in higher education using Rogers’ ( 2003 ) innovation diffusion theory to identify factors associated with the adoption process in order to provide contextual insight into factors that impede and facilitate successful implementation of badge systems. Rogers established that there are five specific characteristics of innovations (relative advantage, compatibility, complexity, trialability, and observability) which are attributed to varying rates of adoption (2003). The results of the current study also attributed factors related to complexity as barriers to successful adoption of badges in each of the three cases. Results found that usability issues, increased faculty workload, and a lack of understanding of the badges’ purpose and value were the main factors which negatively impacted badge adoption."
38,Online teaching in response to student protests and campus shutdowns: academics’ perspectives,"During the period 2015–2017, student protests and university shutdowns rocked the higher education sector in South Africa, with key issues being raised regarding student exclusion based on financial, epistemological and cultural grounds. In this highly politicised and contested environment, some universities decided to use blended and online delivery as a strategy to enable the academic year to be completed and all curriculum to be covered, despite the disruptions. This was a controversial decision politically and a challenging one practically. From the perspective of the academics at the University of Cape Town (UCT), this paper draws on interviews with educators in three broad disciplinary areas to explore their views, practices, and experiences regarding the use of online materials in these unique circumstances. Activity Theory provides a framework to consider the issues systemically and to identify the tensions and contradictions in the system."
39,Perceptions of students after implementing peer instruction in an introductory physics course,"In the present work we carried out a qualitative educational research to assess the perceptions of a group of students that attended (weekly and non-mandatory) complementary classes of a physics course during 2017. In these classes the teaching method called peer instruction (PI) was implemented, which involves collaborative learning among students. From the students’ responses to a simple questionnaire we assessed some basic aspects of these classes from which we can conclude that, in the first place, students considered that PI had positively influenced their comprehension of physical concepts and that, secondly, they positively valued the activities performed and the dynamics of these classes. These results, which are part of a series of previous works that have been published elsewhere, are relevant in a context were active and collaborative learning strategies are practically non-existent and push us to continue and broaden the implementation of this and other active learning methods in physics courses."
40,An intervention engine design and development based on learning analytics: the intelligent intervention system (In^2S),"In this study, an intervention engine based on learning analytics was designed and developed. The intervention engine is named the Intelligent Intervention System (In^2S). Within the scope of this research; In^2S system and its components have been introduced, and the system is evaluated based on learners’ views. In^2S includes three types of intervention that are instructional, supportive, and motivational intervention. The instructional intervention was structured based on assessment tasks. The supportive and motivational interventions were structured based on the learning experiences of the learners. Signal lights (red, yellow, and green) are presented to the learners for each assessment task as an instructional intervention. Supportive intervention is presented to the learners via the dashboard. In the context of motivational intervention, elements of gamification as a leader board, badges, and notifications have been used. In order to obtain the learner’s views about the In^2S, semi-structured interviews were conducted with the learners who had a previous learning experience with the system. The learning environment was evaluated based on their views. Learners had a nine-week learning experience in the e-learning environment. Then, eight students who used the system most actively and eight students who used the system most passively were selected for focus group interviews.. According to the findings, it was seen that the learners who use the intervention engine indicated that the system is useful and want to use it in the context of other courses."
41,Evaluation of awarding badges on Student’s engagement in Gamified e-learning systems,"Gamification has been gaining increasing acceptability in recent times in educational and commercially related activities, as a tool that encourages and improves the motivation of digital native learners. Since learners can easily engage, educationists have explored gamification as a tool for remediation of engagement, motivation, and collaboration. However, the literature showed that the structural and contextual deployment of game elements is defined only partially in practice. Subsequently, gamification success and failure factors should be explored to identify the required enhancement to achieve improved efficiency in current systems. This research extracts the relevant aspects of gamification that need due consideration to make a guided choice through existing theories. This study is based on an online gamified study that uses well-founded concepts in teaching and evaluation of students in a university. Although badges earned and time spent indicated an increase in engagement, the results show that further work needs to be done by incorporating feedback elements, social interaction, and interactive guidance. The underlying impression is that timely, frequent feedback and personalized guidance, avenues for collaboration and interactivity need to be explored towards the better utility of gamification. Therefore, learning culture in the current learner-centered environment should be further studied to infuse better productivity."
42,Analysing gamification elements in educational environments using an existing Gamification taxonomy,"Gamification has been widely employed in the educational domain over the past eight years when the term became a trend. However, the literature states that gamification still lacks formal definitions to support the design and analysis of gamified strategies. This paper analysed the game elements employed in gamified learning environments through a previously proposed and evaluated taxonomy while detailing and expanding this taxonomy. In the current paper, we describe our taxonomy in-depth as well as expand it. Our new structured results demonstrate an extension of the proposed taxonomy which results from this process, is divided into five dimensions, related to the learner and the learning environment. Our main contribution is the detailed taxonomy that can be used to design and evaluate gamification design in learning environments."
